id,primary_property_type
172765,Multifamily Housing
256560,Multifamily Housing
256430,
242605,Multifamily Housing
256838,Hospital (General Medical & Surgical)
103621,Hotel
133159,Mixed Use Property
108602,Multifamily Housing
175981,Office
253989,Office
233890,Multifamily Housing
111978,Multifamily Housing
252266,Multifamily Housing
166787,Residence Hall/Dormitory
251686,K-12 School
105852,Multifamily Housing
172221,Strip Mall
134363,Office
162360,K-12 School
124911,Strip Mall
260123,
100332,K-12 School
173766,Multifamily Housing
165439,College/University
101887,Office
111987,Multifamily Housing
256569,Multifamily Housing
102136,
175819,
251315,Supermarket/Grocery Store
124056,
160425,Multifamily Housing
120614,Supermarket/Grocery Store
251505,K-12 School
101871,Office
227696,
251217,Multifamily Housing
251891,K-12 School
156731,Office
255957,Multifamily Housing
175895,Office
113621,Multifamily Housing
175898,
103965,Multifamily Housing
101674,Office
156139,
251729,K-12 School
175484,
111959,Multifamily Housing
252253,Multifamily Housing
175818,
256081,Multifamily Housing
254356,
251383,K-12 School
101876,Office
103815,Other
101569,
237422,Multifamily Housing
260077,Multifamily Housing
251637,K-12 School
100507,
251233,Retail Store
254011,
100068,Other - Mall
175521,
256531,
250143,College/University
148481,Multifamily Housing
159418,Multifamily Housing
158336,Hotel
254342,Multifamily Housing
105490,Multifamily Housing
250017,Other - Recreation
256424,College/University
160369,Multifamily Housing
250060,Office
251453,
102284,Multifamily Housing
254352,
250146,Office
101798,Office
112638,Mixed Use Property
173723,Multifamily Housing
113726,Multifamily Housing
251220,
250049,K-12 School
175272,Multifamily Housing
241820,Multifamily Housing
251378,
173949,Multifamily Housing
115341,Multifamily Housing
250121,Hospital (General Medical & Surgical)
102545,K-12 School
173635,
256406,College/University
168538,Multifamily Housing
251577,K-12 School
132017,Retail Store
101988,Office
242279,Multifamily Housing
128088,Senior Living Community
100346,Multifamily Housing
165224,K-12 School
101972,Office
243776,Multifamily Housing
251412,
160319,Multifamily Housing
252291,Multifamily Housing
251496,K-12 School
100683,
238367,Multifamily Housing
112699,Multifamily Housing
256770,
251673,K-12 School
224416,Multifamily Housing
117014,Senior Living Community
114197,Multifamily Housing
114228,Multifamily Housing
174123,
241405,Multifamily Housing
173812,Multifamily Housing
251363,K-12 School
128978,Senior Care Community
243714,Multifamily Housing
101724,
251446,K-12 School
251443,K-12 School
251748,K-12 School
251625,K-12 School
126411,Other - Mall
239630,Multifamily Housing
159002,Office
251904,K-12 School
175858,Multifamily Housing
251946,Multifamily Housing
222552,Multifamily Housing
101934,Office
175411,
160244,Multifamily Housing
172797,Multifamily Housing
253991,Multifamily Housing
173874,Multifamily Housing
163223,Worship Facility
159312,Multifamily Housing
102705,Multifamily Housing
137212,Multifamily Housing
251730,K-12 School
260074,Senior Living Community
101839,Office
156076,Office
102455,College/University
231520,Multifamily Housing
251627,K-12 School
243683,Multifamily Housing
254978,Office
162325,College/University
174028,Office
252124,Multifamily Housing
234748,Multifamily Housing
121587,Mixed Use Property
121264,College/University
174294,Office
256833,
175223,Multifamily Housing
160427,Multifamily Housing
240842,Multifamily Housing
256783,Multifamily Housing
254379,Multifamily Housing
105078,Multifamily Housing
101812,Office
173754,Multifamily Housing
175053,
106128,Multifamily Housing
103684,Medical Office
251397,K-12 School
105615,Multifamily Housing
231486,Multifamily Housing
113688,Multifamily Housing
240122,Multifamily Housing
157887,Multifamily Housing
101978,
175725,Multifamily Housing
112834,Multifamily Housing
101807,Office
175899,Fitness Center/Health Club/Gym
251433,K-12 School
172584,K-12 School
160434,Multifamily Housing
241533,Multifamily Housing
256727,Multifamily Housing
250134,Office
158142,Multifamily Housing
251723,K-12 School
251929,College/University
250104,Multifamily Housing
251533,K-12 School
165253,Other
250085,Multifamily Housing
252313,Office
172800,Multifamily Housing
252259,Multifamily Housing
242638,Multifamily Housing
254095,Multifamily Housing
104549,Multifamily Housing
123202,Multifamily Housing
171995,Strip Mall
119914,Retail Store
148504,Multifamily Housing
101835,Office
159288,
160257,Multifamily Housing
102456,K-12 School
128170,Multifamily Housing
135620,
103264,
101801,Office
158438,Office
134982,Multifamily Housing
252218,Office
251221,Office
101851,
251317,Hotel
159276,Office
101527,Multifamily Housing
101691,Multifamily Housing
113199,Multifamily Housing
103605,Office
250056,K-12 School
111976,Multifamily Housing
103970,Multifamily Housing
172318,Multifamily Housing
172051,Multifamily Housing
251569,K-12 School
251917,Retail Store
175889,Multifamily Housing
251441,K-12 School
256540,Hotel
256818,
164517,Office
256546,
131428,
147871,Multifamily Housing
141524,
251426,K-12 School
175473,Multifamily Housing
251611,
173646,Multifamily Housing
175867,
251300,Multifamily Housing
103632,Hospital (General Medical & Surgical)
251309,Senior Care Community
251660,K-12 School
256553,Multifamily Housing
254057,Residential Care Facility
160283,Multifamily Housing
251356,K-12 School
159323,Multifamily Housing
251639,K-12 School
172615,
256436,College/University
105749,Multifamily Housing
251386,K-12 School
256678,Multifamily Housing
164965,
174206,Multifamily Housing
250035,K-12 School
244550,Multifamily Housing
254066,Multifamily Housing
251614,K-12 School
256746,K-12 School
157170,
159898,Multifamily Housing
256248,Multifamily Housing
251636,K-12 School
256776,
173872,Worship Facility
256634,Multifamily Housing
112300,
157919,Residential Care Facility
103679,
251398,
251642,K-12 School
116697,
252083,
255791,Senior Living Community
162258,
160330,Multifamily Housing
251360,K-12 School
251735,K-12 School
255934,Multifamily Housing
229826,Hotel
250118,Hospital (General Medical & Surgical)
152378,Multifamily Housing
151257,Multifamily Housing
111083,
254327,Multifamily Housing
101760,Office
251770,Office
229402,Multifamily Housing
158224,Multifamily Housing
252029,Mixed Use Property
105695,Multifamily Housing
140359,Multifamily Housing
164537,Hotel
235438,Multifamily Housing
173639,Office
171880,Multifamily Housing
256558,Multifamily Housing
158867,Multifamily Housing
149143,Multifamily Housing
101409,Senior Living Community
250057,Outpatient Rehabilitation/Physical Therapy
256782,
254165,Residence Hall/Dormitory
109510,
256805,
256769,
118776,College/University
253992,Multifamily Housing
101789,Office
254527,Multifamily Housing
251543,K-12 School
250029,
251609,K-12 School
256409,College/University
175320,Multifamily Housing
127778,Multifamily Housing
163619,Multifamily Housing
238787,Multifamily Housing
158402,Hotel
103653,Office
256407,College/University
231297,Multifamily Housing
251444,K-12 School
242732,Multifamily Housing
251515,
251688,K-12 School
254572,Multifamily Housing
251282,Multifamily Housing
156999,K-12 School
254039,Multifamily Housing
101030,Multifamily Housing
251387,K-12 School
174182,Office
113026,
158303,Hotel
173713,Multifamily Housing
101838,Office
159534,Multifamily Housing
172053,K-12 School
251586,K-12 School
175890,Multifamily Housing
104267,
161181,College/University
102323,
172307,
104511,Multifamily Housing
173846,
135716,Other
102435,Multifamily Housing
159799,Multifamily Housing
251475,K-12 School
158724,Supermarket/Grocery Store
251589,K-12 School
128800,Office
175226,
244426,Multifamily Housing
251793,Other
100448,Hotel
254063,Multifamily Housing
251725,K-12 School
115065,Multifamily Housing
254345,Senior Living Community
103731,Multifamily Housing
250063,
251415,
251920,Multifamily Housing
251892,K-12 School
251254,Multifamily Housing
174321,Multifamily Housing
251571,K-12 School
254096,Multifamily Housing
160397,Multifamily Housing
149001,Senior Living Community
174167,Multifamily Housing
156576,Office
256745,K-12 School
114008,Multifamily Housing
256419,College/University
160343,Multifamily Housing
172167,Multifamily Housing
242236,Multifamily Housing
132207,Movie Theater
250050,K-12 School
256502,Residence Hall/Dormitory
101841,Office
103628,Office
113668,Multifamily Housing
256539,
172762,Multifamily Housing
173492,Multifamily Housing
251655,K-12 School
164980,Office
117390,Multifamily Housing
234897,Multifamily Housing
244073,Multifamily Housing
175049,
250122,Mixed Use Property
244592,Multifamily Housing
160280,Multifamily Housing
234084,Multifamily Housing
175830,
254984,Multifamily Housing
114638,Multifamily Housing
254375,Lifestyle Center
158380,Office
157832,
256614,Enclosed Mall
251712,K-12 School
116534,
156856,Medical Office
255958,
240518,Multifamily Housing
251674,K-12 School
251513,K-12 School
119609,Office
256527,
124019,Supermarket/Grocery Store
251592,K-12 School
106221,Multifamily Housing
173250,Senior Living Community
251268,Multifamily Housing
254382,Laboratory
256537,
132278,Mixed Use Property
172126,
250109,Multifamily Housing
251380,Multifamily Housing
172448,
253958,Multifamily Housing
101873,Performing Arts
254386,College/University
159894,Multifamily Housing
251539,K-12 School
111724,Multifamily Housing
112320,Multifamily Housing
119885,Senior Living Community
237018,Multifamily Housing
104836,Multifamily Housing
234823,Multifamily Housing
254157,College/University
100637,Multifamily Housing
255923,
252264,Multifamily Housing
252302,
251499,K-12 School
251578,K-12 School
119323,Retail Store
256551,
251602,K-12 School
121286,
101343,Multifamily Housing
250039,K-12 School
101904,
103598,Office
251941,Office
114543,Multifamily Housing
256832,
251498,K-12 School
162351,K-12 School
101739,Office
173951,Mixed Use Property
251579,K-12 School
251643,K-12 School
256729,K-12 School
105596,Multifamily Housing
260101,Multifamily Housing
157287,Medical Office
159564,Multifamily Housing
163266,Worship Facility
159896,Multifamily Housing
240338,Multifamily Housing
255015,Multifamily Housing
129344,Multifamily Housing
121043,Office
162321,
251913,
175888,Multifamily Housing
240752,Multifamily Housing
102473,
252248,Senior Care Community
251286,Office
102544,College/University
250074,Multifamily Housing
251635,
253973,Multifamily Housing
241767,Multifamily Housing
119055,Retail Store
103315,Multifamily Housing
251525,K-12 School
256532,Multifamily Housing
254062,Multifamily Housing
156413,K-12 School
102270,Multifamily Housing
101715,Office
251631,K-12 School
251331,College/University
175845,
101846,Office
101918,Office
160242,
156772,
160325,Multifamily Housing
101682,Office
103804,Office
119689,Office
251492,
172177,
100001,Mixed Use Property
175834,Office
251872,K-12 School
159983,Multifamily Housing
172544,Office
254225,Fitness Center/Health Club/Gym
252088,Multifamily Housing
256528,
100489,
256788,
242537,Multifamily Housing
251321,College/University
239540,Multifamily Housing
251395,K-12 School
101420,K-12 School
132161,
173768,Multifamily Housing
161147,College/University
251332,College/University
106000,Multifamily Housing
159745,Multifamily Housing
100438,Multifamily Housing
117750,Supermarket/Grocery Store
251483,K-12 School
159571,Multifamily Housing
173930,Residence Hall/Dormitory
158307,Multifamily Housing
256681,
172169,
116215,Multifamily Housing
105619,Multifamily Housing
255024,
251603,K-12 School
251741,K-12 School
256563,Multifamily Housing
252112,Supermarket/Grocery Store
141031,Multifamily Housing
105233,
102838,Senior Living Community
101592,Multifamily Housing
160085,Multifamily Housing
105067,Multifamily Housing
103626,Office
165659,
251548,K-12 School
101733,Office
105608,Multifamily Housing
125235,Supermarket/Grocery Store
103615,Hospital (General Medical & Surgical)
165269,Senior Living Community
113466,Multifamily Housing
250023,Other - Recreation
160287,Multifamily Housing
115231,Multifamily Housing
251926,Multifamily Housing
105936,Multifamily Housing
251658,K-12 School
146958,Multifamily Housing
172289,Multifamily Housing
173769,Multifamily Housing
256572,
256076,Multifamily Housing
255147,Office
260040,
228455,Multifamily Housing
163380,Retail Store
101707,Office
159416,Multifamily Housing
252309,Multifamily Housing
244340,Multifamily Housing
172798,
110887,
251711,K-12 School
251310,Supermarket/Grocery Store
250037,K-12 School
253951,Multifamily Housing
113677,Multifamily Housing
251211,
256814,
111862,Multifamily Housing
159103,Multifamily Housing
243690,Multifamily Housing
103611,Office
159326,Multifamily Housing
172607,Multifamily Housing
158644,Multifamily Housing
256842,
111452,Multifamily Housing
251905,K-12 School
254367,
252051,Multifamily Housing
251449,K-12 School
102363,K-12 School
103651,Office
160286,Multifamily Housing
106184,
114798,Multifamily Housing
162318,Other
251465,K-12 School
100431,
158061,
175219,
251718,K-12 School
251516,K-12 School
113745,Multifamily Housing
251629,K-12 School
254174,Other
251529,K-12 School
250114,Multifamily Housing
171887,Multifamily Housing
166134,Other
256430,
174184,
175676,
101572,
103617,
172637,
101263,
173751,
175126,
251525,
156139,
252078,
102397,
251218,Multifamily Housing
175695,
124308,Wholesale Club/Supercenter
251322,College/University
250042,
254171,College/University
101420,K-12 School
252107,Performing Arts
101770,Office
175474,Office
160414,Hotel
251233,Retail Store
253963,Multifamily Housing
252035,Multifamily Housing
104261,Multifamily Housing
173625,Office
175590,Hotel
251252,Multifamily Housing
252252,Multifamily Housing
165328,Residence Hall/Dormitory
260132,Office
103621,Hotel
160323,Multifamily Housing
175603,Strip Mall
251684,K-12 School
251619,K-12 School
251731,K-12 School
241820,Multifamily Housing
160266,Multifamily Housing
119504,Multifamily Housing
251223,Office
100431,
250029,Museum
251764,Multifamily Housing
251314,Multifamily Housing
103780,Hotel
251277,Office
250091,Multifamily Housing
250057,Outpatient Rehabilitation/Physical Therapy
171880,Multifamily Housing
159999,Multifamily Housing
172788,Multifamily Housing
175872,Performing Arts
251706,
250139,Courthouse
101839,Office
251531,K-12 School
160085,Multifamily Housing
173812,Multifamily Housing
251421,K-12 School
115860,Multifamily Housing
253964,Multifamily Housing
252125,Hotel
251516,K-12 School
251668,K-12 School
242313,Multifamily Housing
158224,Multifamily Housing
120347,Office
240557,Multifamily Housing
101869,Hotel
173759,Multifamily Housing
103409,
251880,K-12 School
111290,College/University
175415,Multifamily Housing
120267,Supermarket/Grocery Store
114789,Multifamily Housing
129735,Senior Care Community
101722,Office
175603,Strip Mall
251312,Retail Store
101788,Office
101217,Multifamily Housing
102331,K-12 School
239630,Multifamily Housing
253952,
100485,Multifamily Housing
236913,Multifamily Housing
175899,
100623,
158438,Office
103640,Office
124312,
101356,K-12 School
253967,Retail Store
172544,Office
101715,Office
251215,Multifamily Housing
102705,Multifamily Housing
233760,Multifamily Housing
172066,K-12 School
254096,Multifamily Housing
238850,Multifamily Housing
251678,K-12 School
113573,Multifamily Housing
255957,
243071,Multifamily Housing
119757,Retail Store
100429,Mixed Use Property
117702,K-12 School
150324,Multifamily Housing
172812,Multifamily Housing
159897,Multifamily Housing
251330,College/University
260101,Multifamily Housing
138379,Office
102838,Senior Care Community
260132,Office
104735,Multifamily Housing
116716,Multifamily Housing
238480,Multifamily Housing
173730,Multifamily Housing
110854,Multifamily Housing
260118,Multifamily Housing
103597,Office
159494,Multifamily Housing
251883,
251373,K-12 School
254360,K-12 School
243345,Multifamily Housing
172529,Multifamily Housing
162325,College/University
253986,Office
159637,Multifamily Housing
251789,Other
251742,K-12 School
252042,Office
120347,Office
254384,K-12 School
251254,Multifamily Housing
157767,K-12 School
173658,Office
117398,Multifamily Housing
101834,Office
160375,Multifamily Housing
131375,Enclosed Mall
251382,K-12 School
243703,Multifamily Housing
101929,Office
244534,Multifamily Housing
236822,Multifamily Housing
101919,Office
172055,K-12 School
251241,Multifamily Housing
172343,Retail Store
236031,Multifamily Housing
136487,Medical Office
116752,Multifamily Housing
158424,Hotel
254362,Automobile Dealership
251947,Laboratory
251608,K-12 School
251270,Multifamily Housing
175845,
159800,Multifamily Housing
101856,Office
251734,K-12 School
251649,K-12 School
251213,Multifamily Housing
129398,Retail Store
251309,Senior Care Community
158431,Retail Store
242935,Multifamily Housing
112724,Multifamily Housing
244817,Multifamily Housing
106109,Multifamily Housing
104735,
103965,Multifamily Housing
173620,Office
216479,Multifamily Housing
251239,Multifamily Housing
252088,Multifamily Housing
165020,Multifamily Housing
252246,K-12 School
101813,Office
119422,Mixed Use Property
134727,Senior Care Community
251325,College/University
255190,Multifamily Housing
101961,Office
102365,K-12 School
102705,Multifamily Housing
252020,Multifamily Housing
251773,Supermarket/Grocery Store
251992,Office
251295,Senior Care Community
251399,K-12 School
101960,Other - Entertainment/Public Assembly
105695,Multifamily Housing
255948,Multifamily Housing
161131,Residence Hall/Dormitory
159323,Multifamily Housing
251268,Multifamily Housing
158158,
172137,Multifamily Housing
165664,Mixed Use Property
251231,Multifamily Housing
250124,Office
251757,K-12 School
251893,K-12 School
251872,K-12 School
157208,Office
103651,Office
251957,Laboratory
245071,Multifamily Housing
252091,Other - Recreation
103687,Office
120958,Office
159100,Multifamily Housing
101713,Office
101812,Office
102926,Multifamily Housing
251505,K-12 School
158868,Laboratory
172786,
160369,Multifamily Housing
175296,
102452,Library
252031,Hotel
103743,Office
173597,Office
175867,Strip Mall
158422,Office
251499,K-12 School
159100,Multifamily Housing
175229,Multifamily Housing
114200,Multifamily Housing
251572,K-12 School
135080,Multifamily Housing
172784,Multifamily Housing
251707,K-12 School
251774,Multifamily Housing
251783,Other
160242,
161225,K-12 School
233452,Multifamily Housing
251606,K-12 School
133059,Multifamily Housing
251279,Office
254261,Multifamily Housing
102544,College/University
161145,College/University
135007,Office
242635,Multifamily Housing
251489,K-12 School
251714,K-12 School
104635,Multifamily Housing
251417,K-12 School
251928,Other - Public Services
251569,K-12 School
160266,Multifamily Housing
172759,Multifamily Housing
103731,Multifamily Housing
156871,Multifamily Housing
100395,College/University
159924,Multifamily Housing
157971,Multifamily Housing
173488,Office
132551,Other - Services
254157,College/University
128978,Senior Care Community
103621,Hotel
251545,K-12 School
251435,K-12 School
156854,Multifamily Housing
251750,K-12 School
260060,Multifamily Housing
165717,College/University
109573,Multifamily Housing
255026,Multifamily Housing
158651,Multifamily Housing
251451,K-12 School
101545,Multifamily Housing
251685,K-12 School
251996,Multifamily Housing
158061,
158453,Residence Hall/Dormitory
102365,K-12 School
103317,Multifamily Housing
253988,Office
260135,Multifamily Housing
101396,Multifamily Housing
250127,Hospital (General Medical & Surgical)
101852,Hotel
166134,Other
114282,Multifamily Housing
159739,Multifamily Housing
157767,K-12 School
136487,Medical Office
250018,
105551,Multifamily Housing
251522,K-12 School
251904,K-12 School
175837,Multifamily Housing
251473,K-12 School
100179,Hospital (General Medical & Surgical)
173655,Hotel
251871,K-12 School
157602,Multifamily Housing
251626,K-12 School
118332,Retail Store
250038,K-12 School
251658,
103798,Office
105315,Multifamily Housing
251225,Office
157458,Multifamily Housing
251621,K-12 School
103601,Office
172592,Strip Mall
173914,Strip Mall
161225,K-12 School
251670,
105991,Hotel
103696,Office
146962,
103271,Multifamily Housing
243929,Multifamily Housing
101766,Office
200849,Multifamily Housing
159982,Multifamily Housing
174200,Multifamily Housing
255783,Multifamily Housing
103962,Multifamily Housing
251794,Other
160372,Multifamily Housing
100572,K-12 School
251277,Office
250126,Ambulatory Surgical Center
159310,Multifamily Housing
104430,Multifamily Housing
242605,Multifamily Housing
175495,Performing Arts
131906,Senior Care Community
159100,Multifamily Housing
173812,Multifamily Housing
109238,Multifamily Housing
251759,K-12 School
103656,Mixed Use Property
251604,K-12 School
174182,Office
117248,Multifamily Housing
253959,Multifamily Housing
142211,Multifamily Housing
157161,Multifamily Housing
101343,Multifamily Housing
172347,Multifamily Housing
160305,Multifamily Housing
252029,Mixed Use Property
105744,Multifamily Housing
103681,Residence Hall/Dormitory
251457,K-12 School
254173,Multifamily Housing
160445,Multifamily Housing
136784,Other - Lodging/Residential
251860,K-12 School
251233,Retail Store
243776,Multifamily Housing
251757,K-12 School
251242,Multifamily Housing
254343,Multifamily Housing
174126,Supermarket/Grocery Store
172800,Multifamily Housing
147516,Multifamily Housing
106101,Multifamily Housing
104278,Multifamily Housing
158099,Movie Theater
114874,Multifamily Housing
251749,K-12 School
206858,Multifamily Housing
254342,Multifamily Housing
251463,K-12 School
254378,Senior Care Community
251310,Supermarket/Grocery Store
175484,Office
106236,K-12 School
250102,Multifamily Housing
174165,Multifamily Housing
250115,Office
251720,K-12 School
175745,Multifamily Housing
251677,
165224,K-12 School
251212,Office
253994,Multifamily Housing
251260,Multifamily Housing
119799,
172145,K-12 School
251222,Office
102397,Multifamily Housing
115942,Multifamily Housing
159528,Multifamily Housing
251929,College/University
101975,College/University
158644,Multifamily Housing
171995,Retail Store
173622,Fitness Center/Health Club/Gym
101856,Office
156868,Multifamily Housing
160453,Multifamily Housing
161305,K-12 School
105454,
251652,K-12 School
160954,Laboratory
113452,Multifamily Housing
101987,Office
251869,
164922,Hospital (General Medical & Surgical)
101883,Hotel
103601,Office
250134,Office
252294,Multifamily Housing
239078,Multifamily Housing
101865,Office
133159,Mixed Use Property
171924,Supermarket/Grocery Store
159311,Multifamily Housing
252247,Multifamily Housing
101776,Hotel
101708,Office
162325,College/University
137570,Retail Store
101954,Office
251396,K-12 School
105044,Multifamily Housing
101756,Office
158868,Laboratory
160297,Mixed Use Property
251404,K-12 School
175473,Multifamily Housing
254065,Multifamily Housing
137812,"Repair Services (Vehicle, Shoe, Locksmith, etc.)"
250099,Multifamily Housing
103634,College/University
251327,College/University
134735,Laboratory
250032,Other - Recreation
112699,Multifamily Housing
165353,Supermarket/Grocery Store
254360,K-12 School
103812,Office
101753,Office
103645,Office
251497,K-12 School
135082,Social/Meeting Hall
104430,Multifamily Housing
241405,Multifamily Housing
105012,Multifamily Housing
111724,Multifamily Housing
103871,Multifamily Housing
172565,Multifamily Housing
254053,Multifamily Housing
251557,K-12 School
147855,Multifamily Housing
101862,Office
174321,Multifamily Housing
175495,Performing Arts
158842,College/University
164787,Medical Office
172106,Multifamily Housing
251337,College/University
102456,K-12 School
160184,Office
222943,Multifamily Housing
105006,Multifamily Housing
117115,Multifamily Housing
100433,Hospital (General Medical & Surgical)
250128,Hospital (General Medical & Surgical)
113540,Multifamily Housing
251385,K-12 School
251863,K-12 School
100668,
103621,Hotel
254158,College/University
118349,Office
113569,Multifamily Housing
251417,K-12 School
254389,Residence Hall/Dormitory
159894,Multifamily Housing
260008,Mixed Use Property
101742,Office
251310,Supermarket/Grocery Store
250002,College/University
101579,Multifamily Housing
102532,Hospital (General Medical & Surgical)
254989,
121355,Automobile Dealership
160455,Multifamily Housing
252312,Senior Care Community
251247,Multifamily Housing
137334,Multifamily Housing
101890,Other - Specialty Hospital
121761,Retail Store
159902,Multifamily Housing
252064,Library
126258,Supermarket/Grocery Store
250129,Office
101795,Office
251768,Office
113726,Multifamily Housing
232666,Multifamily Housing
160279,Multifamily Housing
251240,Multifamily Housing
129652,Multifamily Housing
101924,Office
244840,Multifamily Housing
251351,K-12 School
251496,K-12 School
160397,Multifamily Housing
160293,Multifamily Housing
251298,Outpatient Rehabilitation/Physical Therapy
253987,Multifamily Housing
173322,Retail Store
109576,Multifamily Housing
110254,Multifamily Housing
254038,Multifamily Housing
175889,Multifamily Housing
250117,Hospital (General Medical & Surgical)
111987,Multifamily Housing
159411,Multifamily Housing
145637,
103970,Multifamily Housing
244447,Multifamily Housing
103692,Office
103781,Office
254370,Residential Care Facility
251741,K-12 School
166122,
172379,Office
251514,K-12 School
132533,Mixed Use Property
251770,Office
120965,Supermarket/Grocery Store
160246,Multifamily Housing
254172,Residence Hall/Dormitory
251716,K-12 School
165819,
175539,Multifamily Housing
251601,K-12 School
251957,Laboratory
100334,Multifamily Housing
101799,Office
158425,Hotel
124911,Strip Mall
251744,K-12 School
251761,K-12 School
101999,Multifamily Housing
227382,Multifamily Housing
131375,Enclosed Mall
260037,Multifamily Housing
254351,Multifamily Housing
253980,Multifamily Housing
250061,Library
106103,Multifamily Housing
241410,Multifamily Housing
113668,Multifamily Housing
158453,Residence Hall/Dormitory
114252,Multifamily Housing
121038,
109550,Multifamily Housing
251287,Hotel
251590,K-12 School
250146,Office
160046,Office
103315,Multifamily Housing
100393,Enclosed Mall
251479,K-12 School
251686,K-12 School
115376,Multifamily Housing
250069,Multifamily Housing
135812,Strip Mall
158405,Office
141122,Multifamily Housing
103624,College/University
252035,Multifamily Housing
172053,K-12 School
256565,
251344,Supermarket/Grocery Store
118695,Senior Care Community
255940,
100946,Multifamily Housing
250037,K-12 School
251958,Medical Office
111553,Multifamily Housing
254059,Prison/Incarceration
251583,K-12 School
137334,Multifamily Housing
251242,Multifamily Housing
130726,Multifamily Housing
106236,K-12 School
101643,Multifamily Housing
241820,Multifamily Housing
146019,
175411,Multifamily Housing
251960,K-12 School
113573,Multifamily Housing
253988,Office
101547,Hospital (General Medical & Surgical)
160429,Multifamily Housing
251326,College/University
252079,K-12 School
173970,Supermarket/Grocery Store
251433,K-12 School
238097,Multifamily Housing
156900,Office
159738,Multifamily Housing
172495,
175521,
250124,Office
102532,
251722,K-12 School
160217,Hotel
172771,Multifamily Housing
103682,Multifamily Housing
134516,Multifamily Housing
159659,Multifamily Housing
159594,Multifamily Housing
251576,K-12 School
175826,Multifamily Housing
102550,
244102,Multifamily Housing
174204,Multifamily Housing
119238,Supermarket/Grocery Store
260149,Supermarket/Grocery Store
116336,Multifamily Housing
250104,Multifamily Housing
229016,Multifamily Housing
117814,K-12 School
101961,Office
252042,Office
251381,K-12 School
243773,Multifamily Housing
101787,Office
112437,Multifamily Housing
252067,Senior Care Community
158095,Office
235438,Multifamily Housing
255011,Hotel
251721,K-12 School
113489,Multifamily Housing
229823,Multifamily Housing
251553,K-12 School
251955,Laboratory
140991,Multifamily Housing
101840,College/University
172394,Office
173872,Worship Facility
103653,Office
101676,Office
105061,Multifamily Housing
239488,Multifamily Housing
150992,Multifamily Housing
254063,Multifamily Housing
250040,K-12 School
173831,Fitness Center/Health Club/Gym
241915,Multifamily Housing
250038,K-12 School
116752,Multifamily Housing
102825,Multifamily Housing
236382,Multifamily Housing
175885,Multifamily Housing
175961,Office
243745,Multifamily Housing
106102,Multifamily Housing
173712,
160341,Multifamily Housing
173322,Retail Store
254046,Multifamily Housing
100395,College/University
254039,Multifamily Housing
229016,Multifamily Housing
251959,College/University
251684,K-12 School
251572,K-12 School
252031,Hotel
175551,Supermarket/Grocery Store
129398,Strip Mall
250022,Other - Recreation
251591,K-12 School
101674,Office
251910,K-12 School
100417,K-12 School
251426,K-12 School
162209,K-12 School
102363,K-12 School
244791,Multifamily Housing
252333,Multifamily Housing
254375,Lifestyle Center
134727,Senior Care Community
251568,K-12 School
103644,Office
119419,K-12 School
250173,Office
130758,Multifamily Housing
251443,
101736,Office
100418,K-12 School
251279,
112699,Multifamily Housing
175887,
159419,Multifamily Housing
250139,Courthouse
116876,Multifamily Housing
251679,K-12 School
254372,Mixed Use Property
252333,Multifamily Housing
175334,Multifamily Housing
135166,
156609,Retail Store
251866,K-12 School
102335,Multifamily Housing
241989,
251423,K-12 School
160270,Multifamily Housing
101998,Office
251584,K-12 School
250171,Multifamily Housing
106122,Multifamily Housing
251551,K-12 School
251316,Supermarket/Grocery Store
112801,Multifamily Housing
160436,Multifamily Housing
159247,Multifamily Housing
254260,Senior Care Community
101788,Office
101827,Office
174306,Multifamily Housing
251392,K-12 School
158640,Multifamily Housing
250067,
251465,K-12 School
116536,Multifamily Housing
252030,Hotel
254050,Multifamily Housing
101679,Office
251300,Multifamily Housing
251906,K-12 School
101940,Enclosed Mall
160264,Multifamily Housing
104238,Multifamily Housing
240429,Multifamily Housing
117348,Multifamily Housing
251714,K-12 School
242635,Multifamily Housing
117750,Supermarket/Grocery Store
105360,Multifamily Housing
252041,Retail Store
250001,Office
251449,
160284,Multifamily Housing
138874,Fitness Center/Health Club/Gym
101980,College/University
161305,K-12 School
250154,Laboratory
118776,College/University
175953,Hotel
250173,Office
100674,Multifamily Housing
251403,
222150,Multifamily Housing
105011,Multifamily Housing
251753,
101748,Office
173658,Office
103632,Hospital (General Medical & Surgical)
102460,Museum
103653,Office
132904,Office
102532,Hospital (General Medical & Surgical)
256080,Multifamily Housing
256410,Laboratory
105991,
242563,Multifamily Housing
159044,Multifamily Housing
114196,Multifamily Housing
252075,K-12 School
242901,Multifamily Housing
103271,Multifamily Housing
101913,Office
101924,Office
252076,
240842,Multifamily Housing
114291,Multifamily Housing
250068,Adult Education
160085,Multifamily Housing
160137,Office
105864,Other - Entertainment/Public Assembly
251902,
156573,
250016,Other - Recreation
101507,College/University
118737,Retail Store
160326,
117750,Supermarket/Grocery Store
251680,
102340,Multifamily Housing
251669,K-12 School
251530,K-12 School
251553,K-12 School
107939,Multifamily Housing
160425,Multifamily Housing
102745,Multifamily Housing
101579,Multifamily Housing
250027,Other
252083,Worship Facility
160321,Multifamily Housing
251723,K-12 School
251511,K-12 School
174228,Mixed Use Property
172900,Senior Care Community
250142,Office
252251,Multifamily Housing
250048,K-12 School
255016,Senior Care Community
